50,162
138,165
72,192
138,174
4,9
44,45
35,161
64,87
70,192
0,60
46,112
40,41
0,124
68,112
113,181
9,17
20,166
92,152
100,101
102,162
112,130
179,197
20,120
13,17
60,156
126,156
70,112
132,160
16,40
126,192
102,192
5,12
0,126
28,87
106,107
4,32
17,151
121,135
112,132
4,41
46,196
68,196
94,160
112,196
32,151
130,156
60,112
72,196
132,162
2,34
16,33
112,192
0,46
46,162
70,196
86,152
17,199
0,192
5,32
5,151
92,156
132,192
156,192
32,199
60,160
70,162
94,162
113,197
126,160
136,137
0,94
72,152
45,135
28,64
122,156
0,112
102,196
5,16
94,192
162,192
160,192
5,199
0,130
114,115
122,192
124,156
50,152
60,162
126,162
130,160
13,151
76,152
87,134
0,160
94,112
0,50
5,9
20,28
60,192
0,68
9,16
14,30
0,132
68,192
9,199
0,196
86,156
92,160
132,196
13,16
17,32
41,151
13,199
87,118
17,41
130,162
45,121
48,138
64,134
152,192
0,162
32,41
47,191
122,160
12,17
157,191
4,13
48,165
94,196
48,174
160,196
112,122
130,192
41,199
86,112
4,40
87,166
47,157
50,156
124,160
87,120
5,41
90,91
48,140
76,156
16,151
46,152
68,152
112,152
47,193
122,162
20,87
5,13
28,134
92,192
157,193
60,196
86,160
126,196
112,124
4,33
70,152
64,166
2,8
124,162
33,151
9,151
16,199
47,113
9,41
47,177
92,112
0,102
28,118
76,112
13,41
14,18
4,17
124,192
86,162
112,126
130,196
44,135
126,152
102,152
33,199
50,160
134,166
156,196
0,86
20,64
28,166
47,179
76,160
28,120
46,156
68,156
86,192
112,156
177,191
92,196
157,197
72,156
12,151
181,191
0,70
70,156
113,191
162,196
179,191
17,40
122,196
92,162
2,30
0,152
47,181
132,152
76,162
140,165
12,16
140,174
16,32
4,12
12,199
40,151
113,157
16,41
177,193
124,196
50,192
44,121
181,193
118,134
72,112
0,72
76,192
14,34
2,14
17,33
102,156
94,152
113,193
5,40
179,193
122,152
40,199
120,134
50,112
4,5
33,41
46,160
68,160
86,196
112,160
152,196
72,160
113,177
4,151
8,14
124,152
70,160
5,33
60,152
0,92
102,112
0,156
20,134
132,156
75,168
68,162
94,156
112,162
118,166
177,197
4,16
4,199
47,197
50,196
72,162
113,179
0,122
5,17
181,197
66,67
0,76
12,41
76,196
2,18
46,192
102,160
20,118
120,166
151,199
130,152
